635nm,520nm,405nm,target
29.6396,29.6233,29.5997,1
29.643,29.6256,29.6019,1
29.6198,29.6028,29.576,1
29.686,29.6684,29.6433,1
29.6261,29.6092,29.5855,1
29.6501,29.6345,29.6113,1
29.6834,29.6677,29.6416,1
29.6797,29.6624,29.6417,1
29.7422,29.7263,29.7052,1
29.6783,29.6623,29.6353,1
29.7026,29.686,29.6635,1
29.6977,29.682,29.6549,1
29.6933,29.6778,29.6508,1
29.7158,29.7005,29.6774,1
29.7978,29.7823,29.7561,1
29.7956,29.7776,29.7547,1
29.7333,29.7157,29.6918,1
29.7735,29.7558,29.7305,1
29.7953,29.779,29.7551,1
29.7622,29.7463,29.7202,1
29.8545,29.8377,29.8113,1
29.8082,29.7928,29.7716,1
29.8677,29.8517,29.8298,1
29.8897,29.8742,29.8528,1
29.8275,29.811,29.7879,1
29.8997,29.8823,29.8553,1
29.8619,29.8461,29.8246,1
29.8769,29.86,29.8339,1
29.9144,29.8993,29.8781,1
29.96,29.9446,29.9187,1
29.9666,29.9492,29.9244,1
29.9768,29.9614,29.94,1
29.9617,29.9453,29.9236,1
29.9573,29.9421,29.9164,1
29.9725,29.955,29.9283,1
29.943,29.9268,29.899,1
29.9976,29.9816,29.9557,1
30.0161,29.9994,29.9738,1
30.0444,30.0274,30.0008,1
30.0459,30.0283,30.0018,1
30.0488,30.0335,30.0087,1
29.9954,29.9778,29.9501,1
30.0821,30.0668,30.0406,1
30.0612,30.0452,30.0192,1
30.0417,30.0239,29.996,1
30.038,30.0208,29.9931,1
30.1237,30.1076,30.0819,1
30.1099,30.0942,30.0665,1
30.124,30.1084,30.0865,1
30.1142,30.0973,30.0754,1
30.0732,30.0578,30.0351,1
30.1078,30.0914,30.0676,1
30.1287,30.113,30.0907,1
30.1988,30.1828,30.1628,1
30.1671,30.1503,30.1297,1
30.1205,30.103,30.0821,1
30.1782,30.1618,30.1355,1
30.2213,30.2055,30.1853,1
30.1729,30.1559,30.1357,1
30.191,30.1742,30.1476,1
30.1727,30.1554,30.1299,1
30.2165,30.1998,30.1725,1
30.2045,30.1875,30.1614,1
30.2622,30.2466,30.2229,1
30.2851,30.2683,30.247,1
30.2844,30.2693,30.2478,1
30.295,30.2781,30.2578,1
30.3064,30.2889,30.2666,1
30.274,30.259,30.2371,1
30.3578,30.3413,30.3183,1
